Date,Open,High,Low,Close,Adj Close,Volume
1/4/2021,9.39,9.43,9.14,9.19,9.027672,231100
1/5/2021,8.98,9.16,8.98,9.14,8.978556,183300
1/6/2021,9.31,9.54,9.3,9.51,9.34202,336000
1/7/2021,9.23,9.29,9.19,9.23,9.066965,320300
1/8/2021,9.23,9.26,9.15,9.25,9.086613,235800
1/11/2021,9.06,9.17,9.05,9.14,8.978556,179500
1/12/2021,9.01,9.21,8.99,9.2,9.037496,496000
1/13/2021,9.22,9.26,9.15,9.18,9.017849,294100
1/14/2021,9.17,9.29,9.17,9.25,9.086613,226600
1/15/2021,9.2,9.23,9.13,9.17,9.008025,220800
1/19/2021,9.15,9.25,9.09,9.25,9.086613,289600
1/20/2021,9.82,10.09,9.8,10.04,9.862659,611000
1/21/2021,9.85,9.87,9.79,9.84,9.666191,520100
1/22/2021,9.82,9.83,9.7,9.72,9.54831,304000
1/25/2021,9.73,9.84,9.69,9.82,9.646544,401500
1/26/2021,10.4,10.52,10.37,10.48,10.294886,544700
1/27/2021,11.62,11.9,11.49,11.75,11.542454,1623300
1/28/2021,10.98,11.03,10.78,10.81,10.619058,920200
1/29/2021,10.74,11.1,10.68,11.05,10.854818,813700
2/1/2021,10.69,10.72,10.38,10.48,10.294886,539800
2/2/2021,10.11,10.23,10.08,10.23,10.049301,399600
2/3/2021,10.15,10.28,10.11,10.27,10.088596,413400
2/4/2021,10.08,10.12,10.03,10.1,9.921598,330300
2/5/2021,9.86,10.01,9.78,9.95,9.774247,364700
2/8/2021,9.91,9.96,9.9,9.92,9.744778,319500
2/9/2021,10.01,10.19,10.01,10.18,10.000185,289500
2/10/2021,10.27,10.28,10.18,10.22,10.039479,202200
2/11/2021,10.4,10.4,10.29,10.37,10.186829,293700
2/12/2021,10.55,10.62,10.52,10.58,10.39312,299800
2/16/2021,10.78,10.83,10.75,10.77,10.579764,223900
2/17/2021,10.68,10.68,10.46,10.53,10.344003,301800
2/18/2021,10.68,10.68,10.52,10.57,10.383296,180600
2/19/2021,10.48,10.55,10.45,10.48,10.294886,301800
2/22/2021,10.36,10.42,10.31,10.31,10.12789,209700
2/23/2021,10.46,10.72,10.33,10.7,10.511,401100
2/24/2021,10.64,10.68,10.56,10.66,10.471706,320800
2/25/2021,10.72,10.78,10.53,10.57,10.383296,347600
2/26/2021,10.5,10.53,10.4,10.48,10.294886,303700
3/1/2021,10.59,10.68,10.57,10.66,10.471706,304400
